payload,reflected,error
<script>alert(35)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(36)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(37)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(38)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(39)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(40)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(41)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(42)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(43)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(44)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(45)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(46)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(47)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(48)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(49)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
<script>alert(50)</script>,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 1=1 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 2=2 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 3=3 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 4=4 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 5=5 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 6=6 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 7=7 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 8=8 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 9=9 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 10=10 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 11=11 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 12=12 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 13=13 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 14=14 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 15=15 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 16=16 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 17=17 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 18=18 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 19=19 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 20=20 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 21=21 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 22=22 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 23=23 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 24=24 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 25=25 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 26=26 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 27=27 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 28=28 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 29=29 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
' OR 30=30 --,False,Invalid URL 'demo.testfire.net': No scheme supplied. Perhaps you meant https://demo.testfire.net?
